Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,61.98,61.830002,62.5,61.279999,41.268639,2377335
5/20/2011,60.98,62.189999,62.43,60.619999,40.602798,5738738
5/23/2011,59.130001,60,60.029999,58.830002,39.370998,2760383
5/24/2011,60.279999,59.009998,60.689999,59,40.136711,2139999
5/25/2011,60.75,59.650002,60.990002,59.400002,40.449657,1954010
5/26/2011,59.700001,61,61,59.360001,39.750523,2733454
5/27/2011,60.700001,60.200001,60.830002,59.869999,40.416363,1846888
5/30/2011,60.830002,60.889999,61.240002,60.490002,40.502922,658108
5/31/2011,61.48,61.5,61.889999,61.25,40.935719,2096293
6/1/2011,60.610001,61.279999,61.400002,60.139999,40.356438,2064142
6/2/2011,60.139999,60.299999,60.900002,59.400002,40.043491,1915722
6/3/2011,60.290001,60.259998,60.91,59.650002,40.143372,1760603
6/6/2011,60.740002,60.099998,60.959999,59.75,40.442997,1579540
6/7/2011,60.32,60.700001,61.130001,60.119999,40.163349,1379774
6/8/2011,61,59.880001,61,59.259998,40.616108,2859053
6/9/2011,62.93,61.259998,63.060001,60.970001,41.901184,4258202
6/10/2011,62.34,62.990002,63.470001,62.040001,41.508335,2748506
6/13/2011,62.509998,62.5,62.919998,61.720001,41.621529,1149645
6/14/2011,63.400002,62.040001,63.52,62.009998,42.21413,2637256
6/15/2011,62.380001,62.849998,63.689999,62.209999,41.534966,2449543
6/16/2011,63.439999,62,63.439999,61.490002,42.240757,2907755
6/17/2011,64.18,63.060001,64.550003,62.439999,42.733482,5171504
6/20/2011,63.900002,63.66,64.239998,62.93,42.547047,2213674
6/21/2011,64.849998,64.410004,64.870003,63.830002,43.179588,2594437
6/22/2011,65.389999,64.900002,65.629997,64.019997,43.539143,3423654
6/23/2011,65.209999,65.150002,66.07,64.660004,43.419289,2965074
6/24/2011,67.129997,66.120003,68.459999,66.120003,44.697701,4747099
6/27/2011,67.760002,67.089996,68.059998,66.790001,45.117184,2061224
6/28/2011,69.099998,67.839996,69.379997,67.290001,46.009403,2638323
6/29/2011,68.860001,69.550003,70.019997,67.980003,45.849606,3465572
6/30/2011,68.809998,68.970001,69.099998,67.260002,45.816311,2978742
7/1/2011,67.769997,68.699997,68.699997,67.349998,45.123837,2556578
7/4/2011,68.82,67.980003,69,67.540001,45.822968,1300389
7/5/2011,68.790001,68.510002,69.550003,68.209999,45.802994,1776463
7/6/2011,67.82,68.440002,69.139999,67.559998,45.157127,2342908
7/7/2011,69.279999,68.379997,69.449997,68.129997,46.129253,2774569
7/8/2011,68.510002,69.330002,70.120003,68.25,45.616562,2415872
7/11/2011,66.75,68,68.260002,66.330002,44.444679,2667642
7/12/2011,67.239998,65.739998,67.559998,64.190002,44.770935,5383859
7/13/2011,70.18,67.580002,70.290001,67.559998,46.728504,3597249
7/14/2011,71,69.639999,71.75,69.559998,47.274498,3657786
7/15/2011,72.669998,70.75,72.739998,70.440002,48.386448,3756090
7/18/2011,71.110001,72.269997,72.650002,70.940002,47.347736,2262233
7/19/2011,72,71.949997,72.519997,71.239998,47.940334,1712031
7/20/2011,71.949997,72.489998,72.489998,71.120003,47.907047,1865206
7/21/2011,71.190002,72.389999,72.57,70.339996,47.401001,2878589
7/22/2011,71.580002,71.940002,71.940002,70.620003,47.660686,1644125
7/25/2011,73.519997,71.220001,73.68,70.919998,48.952408,2432193
7/26/2011,72.190002,73.769997,73.849998,71.57,48.066837,2356886
7/27/2011,70.699997,71.580002,72.849998,70.32,47.074745,3332609
7/28/2011,70.25,70,70.870003,68,46.775108,3278654
7/29/2011,69.82,69.260002,70.720001,68.699997,46.488804,2231679
8/1/2011,67.709999,71.599998,71.760002,67.510002,45.083889,2824591
8/2/2011,65.970001,67.800003,69.300003,65.790001,43.925327,4547803
8/3/2011,65.550003,65,66.889999,64.410004,43.645683,4093606
8/4/2011,61.27,66.779999,66.779999,61.220001,40.795891,5965142
8/5/2011,60.48,59.130001,63.720001,58.599998,40.269875,6102743
8/8/2011,55.139999,59.349998,61.27,54.509998,36.714302,7467791
8/9/2011,58.630001,55.59,58.77,51.709999,39.038082,9731294
8/10/2011,55.619999,60.59,61.59,54.630001,37.033901,7388724
8/11/2011,57.66,57.169998,57.900002,54.349998,38.392216,5738880
8/12/2011,59.34,57.57,59.709999,56.09,39.510822,4424046
8/15/2011,59.310001,60,60.68,59.09,39.490856,2643815
8/16/2011,58.869999,58.52,59.099998,56.799999,39.197876,3086059
8/17/2011,58.759998,58.349998,59.900002,57.73,39.124634,2430044
8/18/2011,54.150002,57.810001,58.290001,53.279999,36.055126,5909122
8/19/2011,52.299999,53.130001,53.990002,50.57,34.823322,7542802
8/22/2011,50.09,50.330002,52.439999,49.834999,33.351822,5743470
8/23/2011,51.369999,50.970001,52.490002,50.200001,34.20409,4907408
8/24/2011,53.57,52.5,54.450001,51.099998,35.668938,4400397
8/25/2011,53.82,54.290001,55.560001,52.869999,35.835403,5235590
8/26/2011,54.049999,53.48,54.43,52.16,35.988541,3312430
8/29/2011,54.41,55.23,55.34,53.490002,36.228237,2340070
8/30/2011,54.25,55.43,55.43,53.400002,36.121712,2713792
8/31/2011,56.349998,54.48,56.869999,54.389999,37.51997,4129537
9/1/2011,56.900002,56.5,57.66,54.720001,37.886181,4086319
9/2/2011,54.220001,55.75,55.900002,53.720001,36.101734,3240227
9/5/2011,50.869999,52.799999,54.009998,50.200001,33.871174,4449885
9/6/2011,50.66,50.93,51.959999,49.855,33.731354,4123690
9/7/2011,53.709999,52.150002,53.93,52,35.762161,3630093
9/8/2011,53.299999,53.959999,54.400002,52.049999,35.489162,3012612
9/9/2011,51.689999,53,53.849998,51.41,34.41716,3903642
9/12/2011,50.900002,50.099998,51.240002,49.035,33.891155,4288358
9/13/2011,51.950001,52.080002,52.75,50.060001,34.590279,3931718
9/14/2011,55.07,51.380001,55.349998,51.099998,36.667702,5200929
9/15/2011,56.52,55.799999,57.48,55.049999,37.633156,4777026
9/16/2011,57.18,57.25,57.5,56.220001,38.072617,7887509
9/19/2011,56.200001,55.799999,57.779999,55.52,37.420094,3224595
9/20/2011,57.639999,55.900002,57.970001,55.560001,38.378899,2641362
9/21/2011,56.09,57.73,57.77,55.669998,37.346848,2385333
9/22/2011,52.990002,54.099998,54.380001,52.049999,35.282753,5021351
9/23/2011,52.18,53.5,53.700001,49.945,34.743427,5207533
