Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,49.709999,49.474991,50.43,49.325001,31.348427,3850688
5/20/2011,48.849998,49.950001,50.139999,48.43,30.806082,6187445
5/23/2011,47.389999,47.75,48.130001,47.169998,29.88537,5575246
5/24/2011,47.900002,47.145,48.5,47.145,30.206987,6264296
5/25/2011,48.200001,47.310001,48.355,47.005001,30.396179,4725051
5/26/2011,47.875,48.57,48.830002,47.555,30.191223,4446981
5/27/2011,48.080002,48.334999,48.630001,47.580002,30.320503,3648906
5/30/2011,48.060001,48.200001,48.619999,47.93,30.307892,1519709
5/31/2011,49.105,48.450001,49.625,48.450001,30.966892,5221735
6/1/2011,48.509998,49.200001,49.34,48.185001,30.591671,3683956
6/2/2011,47.325001,48,48.064999,47.294991,29.844381,4063291
6/3/2011,47.57,47.595001,48.040001,46.82,29.998884,4812350
6/6/2011,47.200001,47.369999,47.775002,46.985001,29.765551,3207695
6/7/2011,47.099998,47.110001,47.674999,46.715,29.702486,3740454
6/8/2011,47.34,46.700001,47.365002,46.314999,29.85384,5113090
6/9/2011,47.43,47.34,47.889999,46.799999,29.910595,6176010
6/10/2011,46.584999,47.57,47.669998,46.32,29.37771,5416065
6/13/2011,46.630001,46.77,46.895,46.02,29.406097,2500342
6/14/2011,47.150002,47,47.485001,46.82,29.73402,4216203
6/15/2011,46.630001,47,47.389999,46.310001,29.406097,4986868
6/16/2011,46.970001,46.25,46.970001,45.705002,29.620508,6001135
6/17/2011,47.34,46.875,47.900002,46.224991,29.85384,10458140
6/20/2011,47.560001,46.924999,47.575001,46.540001,29.992577,3861770
6/21/2011,48.560001,48,48.764999,47.720001,30.623203,6458541
6/22/2011,48.91,48.805,49.240002,48.43,30.843922,4726464
6/23/2011,48.755001,48.91,49.189999,48.369999,30.746174,4430649
6/24/2011,49.02,49.48,50.299999,48.810001,30.913292,6976597
6/27/2011,49.240002,49.02,49.654999,48.59,31.052027,3254976
6/28/2011,50.389999,49.549999,50.75,49.25,31.777243,5943334
6/29/2011,51.34,50.91,51.630001,50.740002,32.376343,6261506
6/30/2011,51.900002,51.509998,51.93,50.91,32.729492,4132722
7/1/2011,51.59,51.900002,52.139999,51.299999,32.533997,4154390
7/4/2011,52.349998,51.630001,52.349998,51.389999,33.013275,3073953
7/5/2011,52.810001,52.189999,53.099998,52.150002,33.303364,5156644
7/6/2011,52.970001,52.799999,53.23,52.16,33.404266,4080480
7/7/2011,52.630001,53.200001,53.610001,52.630001,33.18985,4574510
7/8/2011,52.389999,52.84,53.57,52.09,33.038494,5192397
7/11/2011,51,51.400002,52.029999,50.580002,32.161926,5088074
7/12/2011,51.68,50.200001,51.939999,49.099998,32.590759,8611251
7/13/2011,53.169998,51.669998,53.419998,51.630001,33.530388,5655693
7/14/2011,53.259998,52.790001,53.84,52.700001,33.587147,4281064
7/15/2011,53.27,52.970001,53.950001,52.700001,33.593449,6281176
7/18/2011,51.5,52.880001,52.990002,51.470001,32.477242,4813702
7/19/2011,52.400002,52.02,52.759998,51.900002,33.044804,3409551
7/20/2011,52.450001,52.75,53.040001,51.849998,33.07634,3425258
7/21/2011,52.25,52.66,52.790001,51.009998,32.950211,4800266
7/22/2011,52.470001,52.900002,53,51.900002,33.088955,3395672
7/25/2011,53.040001,51.959999,53.349998,51.860001,33.448406,3804242
7/26/2011,51.810001,53.049999,53.150002,51.709999,32.672737,4493409
7/27/2011,51.029999,51.150002,52.049999,50.5,32.180851,5961150
7/28/2011,51.07,50.82,51.48,50.139999,32.206066,4229025
7/29/2011,50.66,50.299999,51.25,49.959999,31.947515,4489497
8/1/2011,49.005001,51.52,51.810001,48.599998,30.90383,5781699
8/2/2011,47.415001,48.509998,48.904999,46.834999,29.901134,7474087
8/3/2011,45.330002,46.299999,47.16,44.560001,28.586277,10970010
8/4/2011,43.860001,46.48,46.48,43.650002,27.659262,9828521
8/5/2011,41.970001,42.200001,44.040001,41.544991,26.467379,14391635
8/8/2011,39.009998,41.200001,42.605,38.544991,24.600725,14717062
8/9/2011,38.880001,38.880001,40.369999,35.77,24.518742,17990416
8/10/2011,36.669998,40.5,40.5,36.110001,23.125057,15282139
8/11/2011,37.645,37.744999,38.07,35.279999,23.73992,12737538
8/12/2011,38.875,37.735001,39.305,36.619999,24.515587,7938818
8/15/2011,38.415001,39.525002,39.855,38.130001,24.2255,6149092
8/16/2011,38.07,37.904999,38.200001,36.384991,24.007935,7665461
8/17/2011,38,37.720001,38.580002,37.240002,23.963793,5221379
8/18/2011,35.66,37.5,37.625,35.125,22.488125,10631759
8/19/2011,34.735001,35.639999,35.830002,33.27,21.904797,13795559
8/22/2011,33.959999,34.110001,34.970001,33.759998,21.416061,6938655
8/23/2011,34.264999,34.5,35.200001,33.724991,21.608402,6870216
8/24/2011,36.049999,34.790001,36.735001,34.27,22.734068,9578460
8/25/2011,35.75,36.73,37.27,34.790001,22.544884,9075513
8/26/2011,35.59,35.630001,35.900002,34.540001,22.443981,6932567
8/29/2011,36.205002,36.220001,36.674999,35.66,22.831816,3291807
8/30/2011,36.174999,36.744999,36.919998,35.595001,22.812899,4574753
8/31/2011,37.669998,36.365002,38.119999,36.115002,23.755682,8226030
9/1/2011,36.915001,37.764999,37.884991,36.009998,23.279562,8216193
9/2/2011,35.459999,36.220001,36.290001,34.904999,22.361998,6783563
9/5/2011,33.145,34.57,35.060001,32.950001,20.902102,7961863
9/6/2011,32.355,33.185001,33.75,32.125,20.403904,8567793
9/7/2011,34.264999,34,34.43,33.490002,21.608402,6899356
9/8/2011,33.615002,34.345001,34.57,33.040001,21.198496,7013377
9/9/2011,32.360001,33.57,34,32.145,20.407057,7783910
9/12/2011,31.775,31.424999,32.095001,30.924999,20.038139,8931529
9/13/2011,32.424999,32.790001,32.794991,31.07,20.44805,8201818
9/14/2011,34.25,32.029999,34.41,31.99,21.598942,8810055
9/15/2011,35.215,34.825001,35.849998,34.509998,22.207497,8187484
9/16/2011,36.395,35.900002,36.849998,35.48,22.951633,18737695
9/19/2011,35.400002,35.669998,36.619999,35.02,22.324165,5740173
9/20/2011,36.785,35.099998,36.790001,34.865002,23.19758,5408205
9/21/2011,35.400002,36.689999,36.695,35.310001,22.324165,6005151
9/22/2011,32.735001,34.099998,34.16,32.345001,20.643545,10825294
9/23/2011,32.404999,33.244999,33.345001,31.004999,20.435436,8967321
9/26/2011,32.145,31.805,33.064999,31.415001,20.271475,8963238
9/27/2011,34.450001,33.700001,34.48,33.330002,21.725067,8789275
9/28/2011,34.424999,34.145,35.389999,33.73,21.709301,5683949
9/29/2011,34.825001,34.16,35.395,33.919998,21.961555,5240527
9/30/2011,33.630001,34.419998,34.5,32.924999,21.207954,8059908
10/4/2011,30.965,32.314999,32.529999,30.514999,19.527336,9629059
10/5/2011,32.605,31.690001,32.695,31.02,20.56156,7050370
10/6/2011,33.549999,33.080002,33.865002,32.224991,21.157503,8017991
10/7/2011,33.98,33.599998,34.650002,33.209999,21.428673,5868510
10/10/2011,35.369999,34.375,35.700001,32.849998,22.305243,6097139
10/11/2011,35.849998,35.02,35.860001,34.610001,22.607943,5084646
10/12/2011,37.849998,35.779999,38.259998,35.400002,23.869196,9284441
10/13/2011,37.165001,37.645,38.150002,36.759998,23.43722,7341072
10/14/2011,37.82,37.41,38.369999,36.900002,23.850277,5991121
10/17/2011,36.509998,38.400002,38.974991,36.014999,23.024155,6764605
10/18/2011,36.490002,35.799999,36.599998,35.02,23.011547,6939331
10/19/2011,36.119999,36.849998,37.299999,35.785,22.778212,4359175
10/20/2011,34.985001,35.32,36.139999,34.849998,22.062454,7568115
10/21/2011,36.720001,35.169998,36.880001,35.084999,23.15659,6635458
10/24/2011,37.305,37.134991,37.700001,36.334999,23.525505,4996355
10/25/2011,37.75,37.080002,38.685001,36.865002,23.806131,7407893
10/26/2011,37.895,37.799999,38.990002,37.365002,23.897575,6363274
10/27/2011,39.07,39.25,39.849998,38.084999,24.638563,11713605
10/28/2011,39.200001,39.299999,39.299999,38,24.720543,7492861
10/31/2011,37,38.939999,39.125,36.915001,23.333162,6749715
11/1/2011,34.810001,35.52,35.599998,34.25,21.952093,10559286
11/2/2011,35.419998,35.299999,35.540001,34.345001,22.336775,6008153
11/3/2011,36.384991,34.615002,36.950001,34.400002,22.945326,9045946
11/4/2011,34.990002,36.764999,36.764999,34.720001,22.065605,6181771
11/7/2011,34.580002,34.584999,35.415001,33.935001,21.807051,5544275
11/8/2011,34.27,34.689999,35.470001,34.07,21.611555,5144500
11/9/2011,33.605,34.915001,35.049999,32.865002,21.192186,8513695
11/10/2011,33.240002,32.5,33.91,32.5,20.962011,7781256
11/11/2011,34.044991,33.41,34.130001,32.785,21.469658,6595431
11/14/2011,33.66,34.299999,34.470001,33.150002,21.226875,4442067
11/15/2011,32.505001,33.264999,33.595001,32.435001,20.498499,7614689
11/16/2011,32.23,32.314999,33.285,31.84,20.325077,7336825
11/17/2011,31.655001,31.9,32.259998,31.475,19.962469,7749409
11/18/2011,31.620001,31.415001,32.040001,31.165001,19.940395,5688968
11/21/2011,30.395,31.549999,31.57,30.205,19.167879,6469605
11/22/2011,29.85,30.83,31.075001,29.764999,18.824186,6500547
11/23/2011,29.155001,29.5,30.049999,29.145,18.385904,8671580
11/24/2011,29.440001,29.6,30.290001,29.174999,18.56563,5624137
11/25/2011,29.790001,29.584999,30.1,29.014999,18.786352,4404229
11/28/2011,32.139999,30.450001,32.32,30.145,20.26832,8758929
11/29/2011,31.879999,31.700001,32.165001,31.15,20.104359,6296252
11/30/2011,33.610001,31.41,33.990002,31.135,21.195341,10730037
12/1/2011,33.349998,33.485001,34.07,33.02,21.031376,5835802
12/2/2011,33.93,33.970001,34.77,33.825001,21.397144,6761422
12/5/2011,34.759998,34.395,34.955002,33.93,21.920563,6067952
12/6/2011,34.305,34.244999,34.869999,34.009998,21.633627,4528817
12/7/2011,34.02,34.830002,35.09,33.445,21.453897,4998328
12/8/2011,32.814999,34.325001,34.560001,32.564999,20.693995,6934435
12/9/2011,34.16,32.5,34.365002,32.41,21.542183,6732498
12/12/2011,33.060001,33.985001,34,32.82,20.848499,5699836
12/13/2011,32.654999,33.244999,33.639999,32.220001,20.593094,5903970
12/14/2011,31.655001,32.41,32.744999,31.655001,19.962469,6240383
12/15/2011,32.16,31.99,32.529999,31.719999,20.280931,5822675
12/16/2011,31.775,32.41,32.41,31.705,20.038139,12888337
12/19/2011,31.344999,31.549999,32.48,31.1,19.766972,4856765
12/20/2011,33.189999,31.424999,33.240002,31.200001,20.930479,6712261
12/21/2011,33.73,33.735001,34.459999,33.474991,21.271015,5910054
12/22/2011,34.134991,33.895,34.299999,33.814999,21.526417,3847453
12/23/2011,34.389999,34.48,34.634991,34.169998,21.687229,2571446
12/27/2011,34.415001,34.560001,34.73,34.360001,21.702997,1484194
12/28/2011,33.07,34.52,34.549999,32.955002,20.854801,3676121
12/29/2011,33.52,33.224991,33.52,32.91,21.138586,2717326
12/30/2011,33.919998,33.5,33.924999,33.134991,21.390837,2374558
1/2/2012,35.365002,33.919998,35.365002,33.919998,22.302094,4444022
1/3/2012,36.669998,35.93,36.790001,35.810001,23.125057,6379106
1/4/2012,36.365002,36.384991,36.68,36.02,22.932714,4012133
1/5/2012,36.889999,36.5,37.185001,36.215,23.263796,6160380
1/6/2012,36.470001,36.990002,37.25,36.115002,22.998934,4845975
1/9/2012,36.73,36.540001,37.349998,36.380001,23.162895,5164173
1/10/2012,38.259998,37.349998,38.575001,37.064999,24.12775,6953755
1/11/2012,38.215,38.16,38.384991,37.619999,24.09938,4836750
1/12/2012,38.169998,38.154999,39.09,38.009998,24.070993,4941854
1/13/2012,37.970001,38.650002,38.845001,37.110001,23.944872,5945050
1/16/2012,39.345001,38.240002,39.549999,38.005001,24.811983,6312384
1/17/2012,40.845001,40.450001,41.044991,40.330002,25.757921,9116802
1/18/2012,41.365002,40.900002,41.459999,40.200001,26.08585,7000166
1/19/2012,41.439999,41.57,41.674999,40.724991,26.133144,6597738
1/20/2012,41.955002,41.404999,42.255001,40.580002,26.457918,8779352
1/23/2012,41.685001,42.035,42.740002,41.529999,26.287647,6313953
1/24/2012,41.389999,41.490002,41.794991,40.790001,26.101614,4967890
1/25/2012,41.970001,41.5,42.060001,40.805,26.467379,5347788
1/26/2012,43.380001,42.200001,43.57,41.84,27.35656,6410609
1/27/2012,42.700001,43.025002,43.790001,42.389999,26.927738,5627576
1/30/2012,42.345001,42.09,42.650002,41.77,26.703865,4607124
1/31/2012,42.244999,42.580002,43.360001,42.195,26.6408,5111241
2/1/2012,43.849998,42.415001,43.955002,42.345001,27.65295,6535217
2/2/2012,44.095001,44.150002,44.349998,43.23,27.807459,5220113
2/3/2012,45.455002,44.119999,45.474991,43.935001,28.665102,6424720
2/6/2012,45.470001,45.299999,45.919998,45.07,28.67457,4396597
2/7/2012,44.634991,45.599998,45.799999,44.095001,28.147985,4850530
2/8/2012,44.619999,44.915001,45.540001,44.57,28.138536,5686950
2/9/2012,46.68,45.584999,47.029999,45.584999,29.437624,10434450
2/10/2012,46.355,46.5,47.5,45.735001,29.23267,6455568
2/13/2012,47.049999,46.849998,47.294991,46.689999,29.670956,4478417
2/14/2012,46.959999,46.990002,47.445,46.264999,29.614201,4443690
2/15/2012,46.599998,47.419998,47.900002,46.009998,29.387171,5513540
2/16/2012,46.325001,45.66,46.580002,45.209999,29.213749,6378160
2/17/2012,47.785,46.950001,47.985001,46.900002,30.134466,6294909
2/20/2012,48.400002,48.049999,48.900002,48,30.522301,4121860
2/21/2012,47.974991,48.400002,48.715,47.700001,30.25428,4317786
2/22/2012,47.849998,48.130001,48.330002,47.334999,30.175459,4426505
2/23/2012,46.93,47.849998,48.125,45.82,29.595278,6480998
2/24/2012,47.445,47.189999,47.5,46.535,29.920052,3878477
2/27/2012,46.084999,46.970001,47,45.450001,29.062403,7478215
2/28/2012,46.060001,46.419998,46.5,45.634991,29.046633,5386932
2/29/2012,45.395,46.400002,46.535,45.325001,28.627268,6556589
3/1/2012,45.985001,44.799999,46.029999,44.049999,28.999338,6783773
3/2/2012,46.240002,46.099998,46.73,46.044991,29.160151,3983885
3/5/2012,46,45.764999,46.384991,45.200001,29.008799,5024033
3/6/2012,43.575001,45.580002,45.685001,43.544991,27.47953,8062549
3/7/2012,44.035,43.389999,44.450001,43.110001,27.769619,4737235
3/8/2012,46.174999,44.310001,46.299999,44.299999,29.119154,7842024
3/9/2012,46.939999,46.18,47.279999,45.775002,29.601583,4797801
3/12/2012,47.669998,46.810001,47.735001,46.625,30.061941,4338221
3/13/2012,47.720001,47.990002,48.025002,46.974991,30.093477,5510645
3/14/2012,48.259998,47.990002,48.950001,47.549999,30.434011,6745531
3/15/2012,48.445,48.259998,48.615002,47.895,30.550682,4976483
3/16/2012,47.23,48.02,48.380001,47.23,29.784472,14342457
3/19/2012,47.115002,46.970001,47.259998,46.549999,29.711945,3829673
3/20/2012,45.044991,45.799999,46.025002,44.549999,28.406549,9338332
3/21/2012,45.220001,45.59,45.915001,44.805,28.516911,5815693
3/22/2012,44.794991,45.25,45.48,44.400002,28.248886,6736025
3/23/2012,45.490002,45,45.599998,44.685001,28.68718,4852451
3/26/2012,46.650002,45.880001,47.02,45.48,29.418707,5105170
3/27/2012,46.785,47.290001,47.470001,46.66,29.503839,5049849
3/28/2012,45.779999,46.509998,46.880001,45.715,28.870062,4137799
3/29/2012,44.264999,45.599998,45.955002,44.009998,27.914665,8318665
3/30/2012,45.209999,44.93,45.849998,44.744999,28.510605,6055940
4/2/2012,46.145,45.759998,46.145,44.544991,29.100239,6309239
4/3/2012,45.764999,46.150002,46.465,45.580002,28.860605,5389524
4/4/2012,44.705002,45.055,45.285,44.23,28.192141,10245605
4/5/2012,42.855,42.884991,43.189999,42.049999,28.424282,6822869
4/10/2012,40.814999,41.985001,42.244999,40.814999,27.071217,7352915
4/11/2012,41.305,40.82,42.009998,40.654999,27.396221,5851865
4/12/2012,41.77,41.724991,42.209999,41.064999,27.704638,6161349
4/13/2012,40.294991,41.720001,41.764999,39.900002,26.726313,6735368
4/16/2012,40.845001,39.939999,41.294991,39.880001,27.091114,4808117
4/17/2012,42.455002,40.814999,42.455002,40.68,28.158974,5928099
4/18/2012,42.029999,42.355,42.560001,41.715,27.877085,4029642
4/19/2012,40.849998,42.25,42.650002,40.650002,27.094431,9396936
4/20/2012,41.23,40.985001,41.349998,40.529999,27.34647,6745513
4/23/2012,39.5,40.68,40.75,39.400002,26.199024,5954413
4/24/2012,40.275002,39.68,40.389999,39.59,26.713055,4826041
4/25/2012,41.32,40.509998,41.575001,40.509998,27.406172,4781291
4/26/2012,42.66,41.619999,42.75,41.32,28.294941,8744544
4/27/2012,42.075001,41.715,42.540001,41.205002,27.906931,7492517
4/30/2012,41.764999,42.650002,42.650002,41.560001,27.701317,3603573
5/2/2012,41.369999,42.599998,42.799999,40.91,27.439329,4499002
5/3/2012,40.709999,41.439999,41.869999,40.389999,27.001572,5524156
5/4/2012,39.285,40.560001,40.685001,39.049999,26.056419,6089238
5/7/2012,39.360001,38.330002,39.455002,38,26.106165,4532012
5/8/2012,38.25,39.18,39.25,37.965,25.369942,4756722
5/9/2012,38.349998,38.365002,38.700001,37.52,25.436266,5439401
5/10/2012,38.365002,38.689999,38.990002,37.935001,25.446215,6221869
5/11/2012,39.23,38.220001,39.400002,38,26.019939,4778018
5/14/2012,38.514999,38.880001,38.959999,38.110001,25.545704,4134470
5/15/2012,37.93,38.73,38.915001,37.66,25.157696,4776981
5/16/2012,38.145,37.450001,38.52,36.950001,25.300301,6114480
5/17/2012,37.625,38.169998,38.23,37.564999,24.955397,3049983
5/18/2012,37.040001,36.950001,37.485001,36.695,24.567387,7188585
5/21/2012,37.189999,37.139999,37.799999,36.790001,24.666878,4614072
5/22/2012,38.360001,37.919998,38.560001,37.474991,25.442902,5096491
5/23/2012,37.91,37.98,38.535,37.639999,25.144428,6161889
5/24/2012,38.095001,38.400002,38.645,37.810001,25.267134,6122087
5/25/2012,38.049999,38.139999,38.759998,37.779999,25.237284,4761591
5/28/2012,37.849998,38.43,38.619999,37.650002,25.104633,2511836
5/29/2012,38.935001,38.299999,39.314999,38.23,25.824276,4961510
5/30/2012,37.945,38.674999,38.869999,37.715,25.167643,6422823
5/31/2012,37.43,37.939999,38.240002,37.009998,24.826061,6271024
6/1/2012,35.52,37.299999,37.360001,34.939999,23.559223,10689805
6/4/2012,34.849998,35.049999,35.25,34.619999,23.114834,5136096
6/5/2012,34.740002,35.215,35.380001,34.259998,23.041876,4006183
6/6/2012,35.349998,35.25,35.490002,34.735001,23.446465,6435922
6/7/2012,35.465,35.509998,36.450001,35.349998,23.522741,6248678
6/8/2012,35.32,35.215,35.419998,34.869999,23.426565,4114882
6/11/2012,35.224991,36.505001,36.599998,34.869999,23.363556,5577871
6/12/2012,35,35,35.744999,34.869999,23.214323,5013937
6/13/2012,34.264999,35.110001,35.470001,34.869999,22.726824,6892378
6/14/2012,33.595001,34,34.174999,32.985001,22.282434,8058033
6/15/2012,34.029999,33.904999,34.474991,33.759998,22.570953,13203732
6/18/2012,34.740002,34.580002,35.040001,34.259998,23.041876,6431100
6/19/2012,35.395,34.68,35.639999,34.669998,23.476313,4787891
6/20/2012,35.540001,35.349998,35.82,35.02,23.572489,3386479
6/21/2012,35.07,35.41,35.575001,34.945,23.26075,5508586
6/22/2012,34.855,34.715,35.75,34.68,23.118151,5959179
6/25/2012,33.875,34.709999,34.764999,33.875,22.468151,4448488
6/26/2012,33.400002,33.720001,33.799999,33.049999,22.153097,5193120
6/27/2012,33.855,33.52,33.855,32.855,22.454887,4836262
6/28/2012,33.814999,34.200001,34.695,33.195,22.428352,6223027
6/29/2012,35.345001,35.154999,35.355,34.68,23.44315,7066774
7/2/2012,36.240002,35.395,36.435001,35.049999,24.036772,5741861
7/3/2012,37.060001,36.220001,37.060001,36.185001,24.580652,4634295
7/4/2012,37.014999,37.040001,37.48,36.654999,24.550806,3727939
7/5/2012,36.544991,37.049999,37.700001,36.009998,24.239063,6267066
7/6/2012,35.334999,36.305,36.400002,35.294991,23.43652,5067453
7/9/2012,35.299999,35.424999,35.630001,35.095001,23.413301,3529488
7/10/2012,35.610001,35.52,36.18,35.130001,23.618916,3875414
7/11/2012,35.32,35.259998,35.68,34.895,23.426565,4584869
7/12/2012,35.23,35.07,35.605,34.830002,23.366875,4985464
7/13/2012,36.395,35.305,36.485001,35.084999,24.13958,5449834
7/16/2012,36.564999,36.34,36.705002,36.029999,24.252337,2969553
7/17/2012,36.57,36.700001,37.16,36.355,24.255651,3331417
7/18/2012,37.5,36.75,37.584999,36.400002,24.87249,3665708
7/19/2012,38.055,37.560001,38.259998,37.549999,25.240602,5677575
7/20/2012,37.525002,38.044991,38.91,37.5,24.889071,8599737
7/23/2012,36.439999,37,37.200001,36.044991,24.169426,4996173
7/24/2012,36.130001,36.294991,36.68,36.035,23.963816,4656297
7/25/2012,37.615002,37.185001,38.360001,36.860001,24.948767,8342599
7/26/2012,38.244999,37.215,38.244999,36.34,25.366623,8716818
7/27/2012,39.325001,38.43,39.325001,37.689999,26.082952,5326753
7/30/2012,40.09,39.5,40.244999,39.43,26.590349,5048327
7/31/2012,40.709999,40.384991,40.904999,40.029999,27.001572,5832813
8/1/2012,40.16,40.435001,40.689999,39.724991,26.636778,3735907
8/2/2012,39.014999,40.080002,41.365002,38.970001,25.877338,7286383
8/3/2012,40.435001,39.014999,40.465,38.799999,26.819178,5786470
8/6/2012,41.119999,40.275002,41.5,40.25,27.273516,3925210
8/7/2012,41.805,41.084999,41.945,40.98,27.727852,4893733
8/8/2012,41.560001,41.700001,41.900002,41.115002,27.565351,3656850
8/9/2012,41.345001,41.59,41.740002,40.75,27.422749,3671265
8/10/2012,41.365002,41.064999,41.470001,40.68,27.436018,2791777
8/13/2012,40.830002,41.139999,41.189999,40.525002,27.081171,2809505
8/14/2012,41.145,41.34,41.57,40.875,27.290096,2861795
8/15/2012,40.744999,40.924999,41.009998,40.625,27.024788,3092261
8/16/2012,40.75,40.755001,40.845001,40.459999,27.028107,3468676
8/17/2012,41.814999,40.950001,41.900002,40.900002,27.734486,6148084
8/20/2012,41.900002,41.814999,42.064999,41.57,27.790861,2949926
8/21/2012,42.174999,42,42.439999,41.830002,27.973263,2712739
8/22/2012,41.709999,41.799999,41.855,41.439999,27.664843,2589228
8/23/2012,41.189999,41.994999,42.154999,41.025002,27.319944,3833324
8/24/2012,40.98,41.075001,41.115002,40.014999,27.180656,3500245
8/27/2012,41.560001,40.845001,41.564999,40.650002,27.565351,1606248
8/28/2012,41.435001,41.244999,41.595001,41.080002,27.482445,2266717
8/29/2012,41.34,41.419998,41.560001,40.875,27.41943,2609933
8/30/2012,39.055,40.674999,40.77,38.950001,25.90387,7611507
8/31/2012,39,39.150002,39.540001,38.334999,25.867386,5859397
9/3/2012,38.605,38.869999,39.040001,38.380001,25.605398,4033877
9/4/2012,37.77,38.68,38.744999,37.615002,25.051571,4083869
9/5/2012,37.720001,37.709999,38.025002,37.360001,25.018408,4587353
9/6/2012,39.290001,37.845001,39.290001,37.75,26.059734,7134291
9/7/2012,39.099998,39.560001,40.080002,39.084999,25.933716,6050291
9/10/2012,38.77,39.049999,39.185001,38.669998,25.71484,4406788
9/11/2012,39.355,38.66,39.509998,38.445,26.10285,5446785
9/12/2012,39.185001,39.555,39.650002,38.865002,25.990095,6146191
9/13/2012,38.959999,39.355,39.48,38.740002,25.840858,4679675
9/14/2012,40.119999,39.900002,40.57,39.549999,26.610247,8886103
9/17/2012,39.799999,40.014999,40.424999,39.794991,26.397999,5008872
9/18/2012,39.189999,39.5,39.674999,38.785,25.993408,5763717
9/19/2012,40.035,39.599998,40.105,39.105,26.553869,5008275
9/20/2012,39.224991,39.575001,39.855,38.445,26.016619,10276874
9/21/2012,40.205002,39.450001,40.205002,39.169998,26.666626,16979163
9/24/2012,40.099998,39.950001,40.165001,39.605,26.596983,4742115
9/25/2012,39.459999,39.5,39.599998,38.904999,26.172491,6010593
9/26/2012,38.154999,39,39.16,38.029999,25.306925,7260443
9/27/2012,38.009998,38.384991,38.389999,37.775002,25.210754,6462934
9/28/2012,37.665001,38.279999,38.299999,37.665001,24.981926,4870565
10/1/2012,37.945,37.814999,38.139999,37.355,25.167643,5031656
10/2/2012,37.639999,37.685001,38.189999,37.314999,24.965345,3717211
10/4/2012,38.505001,38.32,38.785,37.869999,25.539074,4906104
10/5/2012,39.275002,38.645,39.494999,38.59,26.049791,4727263
10/8/2012,38.275002,39,39,38.224991,25.386522,3916627
10/9/2012,37.779999,38.43,38.485001,37.645,25.058205,4116029
10/10/2012,37.860001,37.595001,38.009998,37.369999,25.111265,4117753
10/11/2012,38.150002,37.665001,38.380001,37.549999,25.303617,4743171
10/12/2012,38.040001,38.150002,38.715,38.040001,25.23065,3514801
10/15/2012,38.165001,38.009998,38.459999,37.939999,25.313562,3571514
10/16/2012,38.334999,38.400002,38.509998,37.689999,25.426317,4629428
10/17/2012,38.639999,38.439999,38.650002,38.115002,25.628614,3576784
10/18/2012,39.560001,38.599998,39.775002,38.41,26.238817,6471488
10/19/2012,39.110001,39.564999,39.82,39.005001,25.940353,6519399
10/22/2012,38.595001,39.09,39.099998,38.450001,25.598764,3521048
10/23/2012,37.799999,38.650002,38.794991,37.605,25.071472,4890567
10/24/2012,37.82,37.75,37.895,36.66,25.084736,6586866
10/25/2012,36.790001,36.75,37.005001,36.310001,24.401571,12385072
10/26/2012,36.689999,36.5,36.799999,36.095001,24.335243,5424411
