Date,Close,Open,High,Low,Adj Close,Volume
6/30/2017,27.799999,26.9,27.799999,25.26,27.799999,11407039
7/3/2017,27.5,28.25,28.75,27.25,27.5,496331
7/4/2017,26.950001,27.5,27.77,26.805,26.950001,172959
7/5/2017,25.549999,26.98,27.280001,25.424999,25.549999,251146
7/6/2017,25.9,25.65,26.225,25.594999,25.9,164755
7/7/2017,26.25,25.959999,26.5,25.815001,26.25,118722
7/10/2017,26.549999,26.370001,26.889999,26.1,26.549999,133496
7/11/2017,27.200001,26.85,27.25,26.725,27.200001,183557
7/12/2017,28.200001,27.5,28.49,27.4,28.200001,70912
7/13/2017,27.6,28.4,28.4,27.6,27.6,22009
7/14/2017,28,28,28.275,27.280001,28,31735
7/17/2017,29.299999,28.275,29.799999,28.139999,29.299999,174981
7/18/2017,29,29.305,29.549999,28.280001,29,62654
7/19/2017,28.9,29.200001,29.445,28.735001,28.9,65753
7/20/2017,29.245001,28.504999,29.790001,28.504999,29.245001,76842
7/21/2017,28,29.245001,29.395,27.155001,28,31640
7/24/2017,27.799999,27.504999,28.870001,27.504999,27.799999,7105
7/25/2017,27.459999,27.799999,28.445,27.17,27.459999,35139
7/26/2017,27.389999,27.799999,28.280001,27.389999,27.389999,31012
7/27/2017,27.805,27.334999,27.805,27.334999,27.805,17805
7/28/2017,27.41,27.5,27.5,27.264999,27.41,21163
7/31/2017,27.700001,27.625,28.16,27.25,27.700001,66757
8/1/2017,27.690001,28.200001,28.200001,27.325001,27.690001,116033
8/2/2017,27.65,27.6,27.889999,27.355,27.65,23079
8/3/2017,27.549999,27.625,27.780001,27.32,27.549999,22273
8/4/2017,26.879999,27.51,27.700001,26.700001,26.879999,27885
8/7/2017,27,27.195,27.200001,26.540001,27,26709
8/8/2017,28.4,28.25,28.74,27.809999,28.4,140351
8/9/2017,28.35,28.83,29.82,28.200001,28.35,187600
8/10/2017,28,28.559999,28.625,27.950001,28,127606
8/11/2017,27.73,27.9,28.25,27.73,27.73,84579
8/14/2017,27.200001,27.83,27.969999,27.120001,27.200001,35555
8/15/2017,26.9,27.075001,27.200001,26.9,26.9,11514
8/16/2017,27.035,26.905001,27.76,26.9,27.035,10474
8/17/2017,27.459999,27.004999,27.799999,27.004999,27.459999,14316
8/18/2017,27.355,27.475,27.855,27.209999,27.355,10642
