Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,13.67,13.635,13.74,13.525,8.873186,3938213
5/20/2011,13.61,13.78,13.78,13.585,8.83424,6384735
5/23/2011,13.46,13.5,13.545,13.385,8.736876,7671353
5/24/2011,13.4,13.525,13.55,13.375,8.697928,5264014
5/25/2011,13.52,13.335,13.545,13.23,8.775821,9189183
5/26/2011,12.99,12.985,13.155,12.89,8.857647,10988971
5/27/2011,12.96,13.08,13.12,12.895,8.837191,5214134
5/30/2011,12.94,12.96,13.035,12.885,8.823552,1863525
5/31/2011,13.085,13.035,13.145,13.025,8.922426,4984305
6/1/2011,12.91,13.145,13.16,12.9,8.803097,3942130
6/2/2011,12.805,12.835,12.875,12.785,8.7315,2462271
6/3/2011,12.75,12.84,12.84,12.61,8.693995,3389239
6/6/2011,12.665,12.74,12.76,12.59,8.636036,2664545
6/7/2011,12.64,12.7,12.79,12.615,8.618988,2729675
6/8/2011,12.52,12.61,12.63,12.45,8.537161,3742346
6/9/2011,12.625,12.48,12.63,12.405,8.60876,3451047
6/10/2011,12.425,12.6,12.68,12.4,8.472384,3511420
6/13/2011,12.415,12.43,12.5,12.385,8.465566,1521016
6/14/2011,12.685,12.57,12.725,12.555,8.649673,3948913
6/15/2011,12.495,12.69,12.72,12.39,8.520115,4500765
6/16/2011,12.48,12.44,12.54,12.365,8.509887,3837387
6/17/2011,12.49,12.465,12.575,12.325,8.516706,8915332
6/20/2011,12.425,12.435,12.525,12.38,8.472384,4055231
6/21/2011,12.63,12.495,12.63,12.46,8.612168,4452384
6/22/2011,12.705,12.65,12.86,12.64,8.663309,5623137
6/23/2011,12.66,12.7,12.805,12.635,8.632626,4488534
6/24/2011,12.67,12.755,12.85,12.65,8.639445,4630988
6/27/2011,12.8,12.705,12.83,12.605,8.728089,2810809
6/28/2011,12.945,12.86,12.955,12.77,8.826962,3309255
6/29/2011,13.115,13,13.155,12.995,8.942882,4864641
6/30/2011,13.25,13.105,13.275,13.06,9.034935,3200521
7/1/2011,13.265,13.205,13.315,13.205,9.045165,3392131
7/4/2011,13.29,13.265,13.33,13.245,9.06221,1286920
7/5/2011,13.25,13.24,13.295,13.16,9.034935,2318306
7/6/2011,13.175,13.29,13.29,13.145,8.983795,2866173
7/7/2011,13.145,13.27,13.275,13.11,8.963338,3486557
7/8/2011,13.095,13.21,13.24,13.055,8.929245,3811789
7/11/2011,12.805,13.1,13.14,12.685,8.7315,5274350
7/12/2011,12.6,12.72,12.81,12.505,8.591713,6375297
7/13/2011,12.65,12.6,12.75,12.57,8.625806,5000848
7/14/2011,12.47,12.565,12.62,12.425,8.503067,4830197
7/15/2011,12.44,12.4,12.5,12.37,8.482612,5001897
7/18/2011,12.21,12.42,12.42,12.17,8.325778,5242206
7/19/2011,12.4,12.25,12.45,12.245,8.455337,3815933
7/20/2011,12.475,12.51,12.51,12.36,8.506477,2874883
7/21/2011,12.59,12.535,12.66,12.375,8.584894,3525620
7/22/2011,12.645,12.67,12.725,12.555,8.622397,4716783
7/25/2011,12.655,12.615,12.66,12.5,8.629216,2304858
7/26/2011,12.76,12.715,12.78,12.635,8.700814,3874359
7/27/2011,12.525,12.76,12.8,12.48,8.540571,3640557
7/28/2011,12.435,12.465,12.515,12.325,8.479201,4530135
7/29/2011,12.32,12.335,12.405,12.255,8.400784,4856691
8/1/2011,12.015,12.49,12.525,12.005,8.192813,5634372
8/2/2011,11.97,12.025,12.195,11.82,8.162128,5242500
8/3/2011,11.705,11.84,11.89,11.5,7.981429,7761536
8/4/2011,11.395,11.765,11.855,11.365,7.770045,8933825
8/5/2011,11.38,11.145,11.68,10.65,7.759818,10434827
8/8/2011,10.885,11.255,11.4,10.885,7.422284,8554504
8/9/2011,10.87,10.83,10.99,10.05,7.412058,13137490
8/10/2011,10.345,11.09,11.095,10.24,7.054069,11659062
8/11/2011,10.745,10.7,10.76,10.19,7.326821,11172538
8/12/2011,11.065,10.74,11.1,10.565,7.545024,5659128
8/15/2011,11.18,11.185,11.335,11.11,7.623441,4417070
8/16/2011,11.05,11.1,11.155,10.82,7.534795,4288085
8/17/2011,10.925,11.01,11.05,10.845,7.44956,4147622
8/18/2011,10.4,10.8,10.895,10.3,7.091571,6574739
8/19/2011,10.18,10.37,10.42,9.931,6.941559,9169659
8/22/2011,10.235,10.11,10.445,10.065,6.979062,4224387
8/23/2011,10.115,10.325,10.435,9.963,6.897236,7054143
8/24/2011,10.33,10.16,10.39,10,7.043841,4893921
8/25/2011,10.17,10.41,10.5,9.89,6.93474,6242866
8/26/2011,10.125,10.155,10.205,9.949,6.904055,6380170
8/29/2011,10.42,10.245,10.5,10.235,7.105209,3052113
8/30/2011,10.445,10.57,10.6,10.27,7.122257,3452853
8/31/2011,10.655,10.47,10.715,10.41,7.265453,5968358
9/1/2011,10.475,10.67,10.675,10.32,7.142715,5088567
9/2/2011,10.21,10.345,10.375,10.13,6.962014,5117984
9/5/2011,9.79,10.1,10.115,9.747,6.675624,6171198
9/6/2011,9.828,9.81,9.935,9.71,6.701536,5771088
9/7/2011,10.09,10.05,10.125,9.955,6.880189,5924809
9/8/2011,10.105,10.08,10.235,9.938,6.890417,5184181
9/9/2011,9.711,10.01,10.045,9.701,6.621756,5417931
9/12/2011,9.693,9.55,9.799,9.496,6.609481,7636213
9/13/2011,9.635,9.836,9.836,9.45,6.569932,6225691
9/14/2011,9.996,9.536,10,9.51,6.816092,6668040
9/15/2011,10.3,10.085,10.375,10.05,7.023383,7707722
9/16/2011,10.27,10.375,10.495,10.27,7.002928,10523545
9/19/2011,10.03,10.145,10.25,9.994,6.839275,4725719
9/20/2011,10.1,9.961,10.15,9.871,6.887007,5362893
9/21/2011,9.716,10.09,10.125,9.69,6.625165,7223257
9/22/2011,9.157,9.496,9.499,9.102,6.243993,9774114
9/23/2011,9.13,9.221,9.27,8.896,6.225582,5859190
9/26/2011,9.369,8.98,9.423,8.975,6.388552,6201388
9/27/2011,9.923,9.54,9.923,9.461,6.766315,7817723
9/28/2011,9.691,9.844,9.913,9.65,6.608118,4490281
9/29/2011,9.86,9.674,9.972,9.625,6.723356,3638387
9/30/2011,9.625,9.9,9.936,9.545,6.563113,5515027
10/4/2011,9.15,9.304,9.419,9.051,6.23922,7151910
10/5/2011,9.567,9.347,9.567,9.23,6.523564,4832521
10/6/2011,9.84,9.52,9.85,9.458,6.709719,7518213
10/7/2011,9.877,9.876,9.95,9.634,6.734948,5950849
10/10/2011,10.15,9.94,10.165,9.857,6.921102,6008743
10/11/2011,10.25,10.16,10.32,10.085,6.989291,5983276
10/12/2011,10.495,10.25,10.52,10.145,7.156351,5613442
10/13/2011,10.6,10.475,10.675,10.44,7.22795,5857562
10/14/2011,10.635,10.65,10.79,10.6,7.251815,6175120
10/17/2011,10.5,10.73,10.85,10.42,7.159761,3947806
10/18/2011,10.49,10.41,10.53,10.28,7.152942,3375446
10/19/2011,10.685,10.525,10.8,10.445,7.285909,6221942
10/20/2011,10.625,10.53,10.795,10.48,7.244995,4906099
10/21/2011,10.815,10.71,10.84,10.57,7.374553,4623673
10/24/2011,11.06,10.9,11.105,10.78,7.541615,3676049
10/25/2011,10.98,11.03,11.22,10.855,7.487064,3772823
10/26/2011,10.95,10.95,11.135,10.84,7.466609,3897769
10/27/2011,11.33,11.18,11.33,11.12,7.725722,5804523
10/28/2011,11.32,11.25,11.435,11.245,7.718903,3915300
10/31/2011,11.01,11.25,11.33,11.01,7.507521,3873097
11/1/2011,10.58,10.79,10.845,10.505,7.214311,5614525
11/2/2011,10.71,10.685,10.755,10.525,7.302955,3182899
11/3/2011,10.95,10.58,11.03,10.545,7.466609,4266370
11/4/2011,10.705,11,11.015,10.61,7.299546,3339949
11/7/2011,10.68,10.75,10.835,10.525,7.282499,2970539
11/8/2011,10.695,10.74,10.85,10.625,7.292728,3897662
11/9/2011,11.1,11.25,11.45,10.935,7.56889,11237719
11/10/2011,11.17,10.91,11.32,10.91,7.61662,5074119
11/11/2011,11.49,11.19,11.53,11.14,7.834824,5498572
11/14/2011,11.43,11.575,11.625,11.345,7.793911,4423823
11/15/2011,11.345,11.35,11.445,11.125,7.73595,4359344
11/16/2011,11.31,11.31,11.505,11.195,7.712085,3711929
11/17/2011,11.235,11.27,11.38,11.1,7.660944,4691464
11/18/2011,11.11,11.2,11.26,11.055,7.57571,3576516
11/21/2011,10.77,11.05,11.06,10.71,7.343869,4779373
11/22/2011,10.65,10.85,10.9,10.65,7.262043,2758115
11/23/2011,10.36,10.6,10.66,10.36,7.064298,5920569
11/24/2011,10.25,10.475,10.635,10.25,6.989291,3813106
11/25/2011,10.39,10.275,10.465,10.12,7.084754,2753499
11/28/2011,10.75,10.52,10.75,10.49,7.33023,4186539
11/29/2011,10.79,10.75,10.825,10.63,7.357507,3025419
11/30/2011,11.215,10.685,11.26,10.63,7.647305,5549496
12/1/2011,11.17,11.28,11.345,11.155,7.61662,3779779
12/2/2011,11.155,11.305,11.36,11.115,7.606393,3752845
12/5/2011,11.14,11.275,11.335,11.06,7.596166,3245016
12/6/2011,11.07,11.055,11.22,11.02,7.548433,3824650
12/7/2011,10.74,11.195,11.21,10.715,7.323412,5135971
12/8/2011,10.7,10.81,10.985,10.665,7.296137,4773897
12/9/2011,10.84,10.605,10.89,10.59,7.391601,4378416
12/12/2011,10.7,10.81,11.05,10.695,7.296137,7109846
12/13/2011,10.795,10.715,10.865,10.65,7.360916,4441221
12/14/2011,10.66,10.76,10.82,10.635,7.268862,4052838
12/15/2011,10.94,10.72,10.99,10.66,7.459787,5297836
12/16/2011,11.13,11.025,11.245,10.97,7.589346,11839333
12/19/2011,11.195,11.04,11.25,10.955,7.633668,2919128
12/20/2011,11.59,11.18,11.59,11.16,7.903012,4320842
12/21/2011,11.47,11.655,11.705,11.435,7.821187,4184505
12/22/2011,11.62,11.59,11.67,11.525,7.923468,2627119
12/23/2011,11.655,11.7,11.735,11.53,7.947335,1540400
12/27/2011,11.73,11.72,11.77,11.63,7.998474,2040156
12/28/2011,11.655,11.725,11.83,11.6,7.947335,2947873
12/29/2011,11.76,11.66,11.765,11.63,8.01893,1726259
12/30/2011,11.88,11.8,11.97,11.755,8.100759,1768564
1/2/2012,12.125,11.87,12.19,11.85,8.267818,3289584
1/3/2012,12.225,12.225,12.26,12.055,8.336006,4861598
1/4/2012,12.35,12.23,12.385,12.185,8.421243,3932078
1/5/2012,12.255,12.41,12.42,12.14,8.356463,4306425
1/6/2012,12.235,12.34,12.415,12.09,8.342825,3057733
1/9/2012,12.105,12.21,12.24,12.065,8.254182,2683130
1/10/2012,12.545,12.25,12.68,12.25,8.554209,6200326
1/11/2012,12.57,12.54,12.605,12.43,8.571256,3671591
1/12/2012,12.45,12.58,12.68,12.435,8.48943,4037309
1/13/2012,12.42,12.65,12.65,12.315,8.468973,3943878
1/16/2012,12.39,12.37,12.475,12.335,8.448518,3222713
1/17/2012,12.57,12.5,12.6,12.405,8.571256,4561368
1/18/2012,12.8,12.55,12.8,12.535,8.728089,4705761
1/19/2012,12.67,12.84,12.88,12.63,8.639445,5793749
1/20/2012,12.69,12.7,12.77,12.605,8.653082,4866330
1/23/2012,12.865,12.68,12.865,12.62,8.772411,3511987
1/24/2012,12.8,12.8,12.85,12.585,8.728089,4046059
1/25/2012,12.52,12.83,12.885,12.375,8.537161,9613321
1/26/2012,12.64,12.58,12.705,12.495,8.618988,4651449
1/27/2012,12.69,12.615,12.85,12.6,8.653082,3800554
1/30/2012,12.54,12.63,12.65,12.455,8.550799,2801061
1/31/2012,12.7,12.58,12.77,12.555,8.6599,5742850
2/1/2012,13.12,12.76,13.15,12.695,8.94629,5999343
2/2/2012,13.065,13.14,13.15,12.96,8.908787,4846261
2/3/2012,13.295,13.07,13.35,13.035,9.06562,4477332
2/6/2012,12.975,13.24,13.255,12.94,8.847418,5266198
2/7/2012,13.075,13.02,13.075,12.855,8.915606,3219507
2/8/2012,13.04,13.115,13.17,12.995,8.89174,5459731
2/9/2012,13.08,13.09,13.09,12.895,8.919016,4694861
2/10/2012,12.96,13.035,13.07,12.935,8.837191,4219827
2/13/2012,12.93,13.03,13.035,12.815,8.816734,4005442
2/14/2012,13.02,12.91,13.07,12.91,8.878102,3264121
2/15/2012,13.135,13.125,13.33,13.11,8.95652,4006184
2/16/2012,13.065,13.03,13.09,12.975,8.908787,4121369
2/17/2012,13.515,13.1,13.515,13.095,9.215634,6516820
2/20/2012,13.72,13.76,13.875,13.57,9.355421,5552269
2/21/2012,13.45,13.7,13.74,13.405,9.171312,4150827
2/22/2012,13.25,13.495,13.505,13.25,9.034935,4466605
2/23/2012,13.05,13.275,13.315,12.895,8.89856,4677946
2/24/2012,13.16,13.105,13.2,13.045,8.973566,2707059
2/27/2012,13.225,13.11,13.25,12.995,9.01789,2757546
2/28/2012,13.205,13.285,13.29,13.115,9.004251,2537730
2/29/2012,13.185,13.27,13.425,13.185,8.990615,3469820
3/1/2012,13.385,13.175,13.455,13.16,9.12699,3241454
3/2/2012,13.535,13.36,13.605,13.325,9.229272,3148280
3/5/2012,13.43,13.455,13.55,13.34,9.157675,2576096
3/6/2012,12.98,13.35,13.36,12.98,8.850826,4706241
3/7/2012,12.92,13,13.035,12.9,8.809916,3421071
3/8/2012,13.65,13.15,13.68,13,9.307689,7707084
3/9/2012,13.75,13.715,13.825,13.675,9.375877,4601337
3/12/2012,13.86,13.8,13.89,13.67,9.450884,3298507
3/13/2012,14.18,13.95,14.18,13.865,9.669086,5104263
3/14/2012,14.15,14.215,14.295,14.13,9.648631,3774494
3/15/2012,14.21,14.195,14.295,14.12,9.689542,2985145
3/16/2012,14.15,14.24,14.26,14.105,9.648631,9685879
3/19/2012,14.435,14.175,14.435,14.15,9.842965,3913670
3/20/2012,14.285,14.37,14.44,14.26,9.740683,3490068
3/21/2012,14.36,14.305,14.475,14.295,9.791824,3757660
3/22/2012,14.19,14.32,14.4,14.125,9.675905,4385714
3/23/2012,14.36,14.24,14.36,14.2,9.791824,2844778
3/26/2012,14.565,14.41,14.585,14.34,9.931611,3195592
3/27/2012,14.625,14.6,14.7,14.505,9.972524,3962328
3/28/2012,14.46,14.59,14.6,14.455,9.860012,2900885
3/29/2012,14.39,14.415,14.53,14.33,9.812282,3334076
3/30/2012,14.435,14.45,14.485,14.35,9.842965,3204936
4/2/2012,14.825,14.59,14.825,14.525,10.1089,5203613
4/3/2012,14.59,14.77,14.8,14.575,9.948657,4163367
4/4/2012,14.13,14.41,14.43,14.1,9.634993,4305957
4/5/2012,14.155,14.21,14.325,13.98,9.65204,3368374
4/10/2012,14.1,14.01,14.235,14.01,9.614535,5139347
4/11/2012,14.15,14.125,14.3,14.1,9.648631,4003326
4/12/2012,14.37,14.13,14.38,14.1,9.798643,4065091
4/13/2012,14.03,14.36,14.41,14.015,9.566802,4031996
4/16/2012,13.965,14,14.125,13.875,9.522481,4429949
4/17/2012,14.48,14,14.48,14,9.873651,5466870
4/18/2012,14.27,14.41,14.415,14.24,9.730456,3155929
4/19/2012,14.055,14.34,14.39,14.055,9.583852,4054628
4/20/2012,14.04,14.11,14.215,13.975,9.573623,4166188
4/23/2012,13.3,13.965,13.98,13.265,9.06903,7487222
