Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,10.61,10.6,10.695,10.555,6.141178,12819113
5/20/2011,10.51,10.61,10.685,10.485,6.083296,17508414
5/23/2011,10.415,10.4,10.475,10.365,6.02831,15542895
5/24/2011,10.31,10.4,10.435,10.31,5.967534,12817222
5/25/2011,10.29,10.215,10.315,10.16,5.955958,14636938
5/26/2011,10.16,10.32,10.32,10.16,5.880714,13262065
5/27/2011,10.14,10.235,10.285,10.035,5.869137,18546225
5/30/2011,10.17,10.125,10.215,10.12,5.886502,5732797
5/31/2011,10.33,10.26,10.33,10.22,5.979111,16364123
6/1/2011,10.215,10.345,10.39,10.2,5.912548,10369129
6/2/2011,10.04,10.155,10.215,10.04,5.811255,9436689
6/3/2011,10.035,10.06,10.09,9.935,5.808361,12676887
6/6/2011,10.005,9.95,10.045,9.931,5.790997,10292622
6/7/2011,10.09,10.02,10.14,10,5.840196,8915599
6/8/2011,10.03,9.995,10.075,9.972,5.805468,12182989
6/9/2011,10.145,10.03,10.18,10.015,5.872032,11510196
6/10/2011,10.14,10.07,10.23,10.055,5.869137,15770959
6/13/2011,10.275,10.11,10.365,10.09,5.947276,12110257
6/14/2011,10.57,10.38,10.57,10.37,6.118026,20414941
6/15/2011,10.35,10.505,10.55,10.33,5.990687,14542947
6/16/2011,10.395,10.36,10.41,10.27,6.016734,14679274
6/17/2011,10.48,10.395,10.635,10.32,6.065933,40061081
6/20/2011,10.505,10.415,10.51,10.335,6.080402,10419728
6/21/2011,10.615,10.55,10.615,10.465,6.144072,12805986
6/22/2011,10.67,10.63,10.7,10.6,6.175905,11756413
6/23/2011,10.585,10.65,10.68,10.575,6.126708,11945676
6/24/2011,10.375,10.64,10.665,10.35,6.005157,15377224
6/27/2011,10.46,10.31,10.515,10.305,6.054356,9369235
6/28/2011,10.415,10.485,10.49,10.365,6.02831,12425503
6/29/2011,10.58,10.435,10.62,10.425,6.123814,11496582
6/30/2011,10.815,10.59,10.82,10.57,6.259834,13143679
7/1/2011,10.69,10.8,10.8,10.63,6.187482,14693067
7/4/2011,10.695,10.705,10.705,10.615,6.190375,5482650
7/5/2011,10.63,10.56,10.685,10.545,6.152754,9478685
7/6/2011,10.565,10.64,10.645,10.515,6.115131,10263854
7/7/2011,10.67,10.585,10.725,10.535,6.175905,9498820
7/8/2011,10.575,10.715,10.735,10.575,6.12092,10479877
7/11/2011,10.375,10.565,10.59,10.315,6.005157,13708616
7/12/2011,10.165,10.295,10.32,10.105,5.883607,25568804
7/13/2011,10.31,10.16,10.325,10.13,5.967534,13605252
7/14/2011,10.25,10.26,10.315,10.19,5.932807,9006809
7/15/2011,10.26,10.185,10.36,10.15,5.938595,15048581
7/18/2011,10.09,10.215,10.25,10.085,5.840196,13726922
7/19/2011,10.345,10.125,10.345,10.125,5.987792,12737031
7/20/2011,10.505,10.395,10.505,10.33,6.080402,11072858
7/21/2011,10.57,10.515,10.61,10.375,6.118026,16499120
7/22/2011,10.71,10.62,10.71,10.45,6.199059,10742837
7/25/2011,10.62,10.675,10.695,10.58,6.146966,11341036
7/26/2011,10.79,10.665,10.835,10.645,6.245363,14491299
7/27/2011,10.67,10.74,10.82,10.595,6.175905,10989131
7/28/2011,10.73,10.705,10.745,10.595,6.210635,12251143
7/29/2011,10.84,10.67,10.875,10.615,6.274304,13226738
8/1/2011,10.43,10.925,10.94,10.43,6.036992,21296876
8/2/2011,10.35,10.38,10.495,10.33,5.990687,17909502
8/3/2011,10.255,10.275,10.515,10.225,5.9357,22247021
8/4/2011,10.145,10.2,10.575,10.14,5.872032,28336303
8/5/2011,9.969,9.95,10.155,9.824,5.770159,37345922
8/8/2011,9.759,9.83,10.1,9.759,5.64861,33446034
8/9/2011,9.42,9.714,9.819,8.921,5.452394,60008219
8/10/2011,9.108,9.569,9.859,9.081,5.271804,48596517
8/11/2011,9.243,9.329,9.35,8.8,5.349945,41001110
8/12/2011,9.529,9.198,9.534,9.083,5.515484,24289065
8/15/2011,9.521,9.592,9.677,9.508,5.510853,14299327
8/16/2011,9.575,9.404,9.585,9.289,5.542109,18449933
8/17/2011,9.543,9.511,9.65,9.395,5.523588,14113890
8/18/2011,9.169,9.474,9.607,9.061,5.307112,28210434
8/19/2011,9.01,9.159,9.168,8.806,5.215082,35338174
8/22/2011,9.124,8.97,9.296,8.95,5.281065,19851002
8/23/2011,9.559,9.23,9.56,9.199,5.532848,28763725
8/24/2011,9.719,9.589,9.791,9.46,5.625457,19498077
8/25/2011,9.455,9.77,9.79,9.282,5.472652,22794805
8/26/2011,9.383,9.455,9.49,9.184,5.430977,16791280
8/29/2011,9.627,9.513,9.639,9.436,5.572206,10177132
8/30/2011,9.534,9.657,9.657,9.416,5.518378,11415539
8/31/2011,8.806,9.54,9.825,8.778,5.097004,71238495
9/1/2011,9,8.883,9.07,8.704,5.209292,48869992
9/2/2011,8.733,8.893,8.92,8.714,5.05475,25249078
9/5/2011,8.33,8.65,8.67,8.26,4.82149,29227958
