Date,Close,Open,High,Low,Adj Close,Volume
9/29/2020,22,21.85,23.370001,21.559999,22,10261596
9/30/2020,23,21.99,23.17,21.57,23,5914951
10/1/2020,22.610001,23.4,23.77,22.610001,22.610001,4359302
10/2/2020,22.42,22.4,22.969999,21.98,22.42,4092751
10/5/2020,21.75,22.559999,22.780001,21.75,21.75,3199904
10/6/2020,21.01,21.9,21.9,20.85,21.01,4579540
10/7/2020,21,21.1,21.469999,20.620001,21,3128761
10/8/2020,20.9,21.059999,21.190001,20.549999,20.9,3609813
10/9/2020,21.040001,20.690001,21.59,20.549999,21.040001,3123835
10/12/2020,21.35,21.139999,21.389999,20.709999,21.35,2654532
10/13/2020,21.709999,21.290001,21.870001,21,21.709999,3883149
10/14/2020,21.83,21.85,22.35,21.73,21.83,3126356
10/15/2020,21.5,21.549999,21.870001,21.26,21.5,2139903
10/16/2020,21.200001,21.299999,21.620001,21.200001,21.200001,2182302
10/19/2020,21.27,21.24,21.530001,21.1,21.27,1575415
10/20/2020,20.92,21.200001,21.43,20.92,20.92,2002759
10/21/2020,20.799999,20.84,21.139999,20.52,20.799999,2048589
10/22/2020,20.41,20.700001,20.780001,20.41,20.41,1745183
10/23/2020,20.42,20.25,20.58,20.25,20.42,1567884
10/26/2020,19.735001,20.200001,20.33,19.709999,19.735001,1791934
10/27/2020,19.424999,19.700001,19.75,19.290001,19.424999,1981501
10/28/2020,18.629999,19.094999,19.190001,18.504999,18.629999,2626525
10/29/2020,18.6,18.58,19.02,18.379999,18.6,2152088
10/30/2020,18.799999,18.5,18.799999,18.360001,18.799999,2381153
11/2/2020,19.549999,18.875,19.549999,18.83,19.549999,1853487
11/3/2020,19.85,19.799999,20.030001,19.495001,19.85,2150878
11/4/2020,19.035,19.465,19.719999,18.605,19.035,2299198
11/5/2020,20.219999,19.219999,20.440001,19.105,20.219999,2582055
11/6/2020,20.25,20.26,20.450001,19.85,20.25,1481804
11/9/2020,21.17,20.879999,21.690001,20.709999,21.17,2249061
11/10/2020,20.5,20.799999,21.1,20.299999,20.5,2074641
11/11/2020,21.469999,21,21.49,20.709999,21.469999,2465078
11/12/2020,22.200001,21.299999,22.33,21.15,22.200001,2069021
11/13/2020,22.870001,22.219999,22.879999,21.98,22.870001,1903756
11/16/2020,23.200001,22.870001,23.299999,22.77,23.200001,2038863
11/17/2020,23.469999,23,23.48,23,23.469999,1538668
11/18/2020,23.879999,23.469999,23.969999,23.34,23.879999,1796127
11/19/2020,24.190001,23.530001,24.309999,23.49,24.190001,1244697
11/20/2020,25.02,24.309999,25.049999,24.25,25.02,1643673
11/23/2020,25.07,25.35,25.469999,24.559999,25.07,1755848
11/24/2020,25.540001,25.48,25.639999,24.91,25.540001,1808115
11/25/2020,25.059999,25.530001,25.620001,24.76,25.059999,1657338
11/26/2020,25.24,25.57,25.57,25.110001,25.24,935265
11/27/2020,24.92,25.1,25.25,24.76,24.92,1219865
11/30/2020,24.9,24.799999,25.370001,24.51,24.9,3525418
12/1/2020,25,25,25.469999,24.959999,25,982265
12/2/2020,24.799999,24.99,25.1,24.51,24.799999,936675
12/3/2020,24.5,24.879999,24.91,24.370001,24.5,1155493
12/4/2020,24.9,24.780001,24.98,24.6,24.9,1818740
12/7/2020,25.6,25.26,25.6,25.110001,25.6,1512708
12/8/2020,25.68,25.540001,26.43,25.530001,25.68,1560625
