Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,24.233334,24.166666,24.446667,24.129999,21.339468,1679322
5/20/2011,23.986666,24.213333,24.213333,23.903334,21.122259,1350780
5/23/2011,23.556665,23.51,23.57,23.233334,20.743603,1751436
5/24/2011,23.623333,23.556665,23.783333,23.343332,20.802311,1231401
5/25/2011,23.576666,23.403334,23.77,23.25,20.761213,988929
5/26/2011,23.756666,23.610001,23.773333,23.513332,20.919722,1256394
5/27/2011,23.666666,23.9,24.016666,23.583332,20.840469,1392621
5/30/2011,23.693333,23.436666,23.973333,23.4,20.863953,513525
5/31/2011,24.323334,23.983334,24.333332,23.663334,21.41872,2469975
6/1/2011,24.33,24.373333,24.496666,24.206667,21.424589,1327356
6/2/2011,23.743334,24.213333,24.323334,23.743334,20.907986,773700
6/3/2011,23.85,23.956667,23.956667,23.483334,21.001911,1162059
6/6/2011,24.103333,23.700001,24.17,23.700001,21.224993,798201
6/7/2011,24,24.193333,24.280001,23.85,21.133995,792243
6/8/2011,23.786667,24,24.08,23.483334,20.946142,934380
6/9/2011,24.263332,23.776667,24.266666,23.753332,21.365885,1171941
6/10/2011,23.673332,24.183332,24.276667,23.673332,20.846338,1272246
6/13/2011,23.903334,23.733334,23.956667,23.719999,21.048874,560949
6/14/2011,24.219999,24.02,24.483334,23.98,21.327726,1062555
6/15/2011,23.766666,24.116667,24.243334,23.719999,20.928526,1584867
6/16/2011,23.363333,23.776667,23.860001,23.120001,20.57336,1824510
6/17/2011,23.540001,23.376665,23.656666,23.043333,20.72893,2927979
6/20/2011,23.576666,23.639999,23.693333,23.276667,20.761213,1030941
6/21/2011,23.673332,23.766666,23.766666,23.433332,20.846338,959448
6/22/2011,23.496666,23.686666,23.83,23.443333,20.690769,891330
6/23/2011,23.623333,23.633333,23.976665,23.566666,20.802311,1037694
6/24/2011,23.203333,23.646666,23.700001,23.136665,20.432467,1188051
6/27/2011,23.366667,23.07,23.556665,23.043333,20.576296,731196
6/28/2011,23.383333,23.426666,23.446667,23.186666,20.590975,861312
6/29/2011,23.756666,23.496666,23.783333,23.386665,20.919722,1158858
6/30/2011,23.993334,23.67,24.076666,23.586666,21.128124,1152612
7/1/2011,23.856667,23.956667,24.110001,23.790001,21.007778,996981
7/4/2011,23.833332,23.866667,23.986666,23.700001,20.987234,626949
7/5/2011,23.916666,23.73,23.983334,23.700001,21.060617,906507
7/6/2011,23.853333,23.860001,23.953333,23.726665,21.004845,746958
7/7/2011,24.093332,23.940001,24.209999,23.91,21.216183,652524
7/8/2011,24.256666,24.166666,24.333332,24.043333,21.360014,1053582
7/11/2011,24,24.276667,24.546665,23.943333,21.133995,1413738
7/12/2011,23.953333,23.943333,24.166666,23.34,21.092903,1766505
