Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,8.091,7.95,8.11,7.93,7.019418,10800476
5/20/2011,8.03,8.122,8.21,7.967,6.966496,10714685
5/23/2011,7.709,7.9,7.934,7.674,6.68801,12054146
5/24/2011,7.865,7.76,7.95,7.736,6.82335,10698961
5/25/2011,7.858,7.77,7.87,7.725,6.817276,9091676
5/26/2011,7.78,7.92,7.975,7.762,6.749606,6612529
5/27/2011,7.869,7.851,7.93,7.77,6.826818,5774667
5/30/2011,7.852,7.85,7.916,7.82,6.812071,3021609
5/31/2011,8.041,7.925,8.088,7.896,6.97604,12007601
6/1/2011,7.982,8.05,8.116,7.95,6.924854,10508509
6/2/2011,7.788,7.86,7.905,7.732,6.756547,6360106
6/3/2011,7.842,7.8,7.874,7.719,6.803395,8578469
6/6/2011,7.78,7.817,7.817,7.7,6.749606,7393659
6/7/2011,7.889,7.78,7.986,7.772,6.844171,12306852
6/8/2011,7.694,7.87,7.878,7.682,6.674996,10484549
6/9/2011,7.645,7.6,7.645,7.396,6.632486,16545470
6/10/2011,7.461,7.65,7.662,7.434,6.472856,11117827
6/13/2011,7.464,7.45,7.534,7.433,6.475459,5471456
6/14/2011,7.603,7.549,7.667,7.515,6.59605,7455718
6/15/2011,7.474,7.571,7.593,7.423,6.484135,8984803
6/16/2011,7.395,7.41,7.478,7.27,6.415597,11788914
6/17/2011,7.265,7.34,7.429,7.166,6.302814,16280464
6/20/2011,7.271,7.18,7.325,7.132,6.30802,9026268
6/21/2011,7.363,7.325,7.377,7.238,6.387835,8735990
6/22/2011,7.423,7.38,7.446,7.3,6.439888,10061894
6/23/2011,7.3,7.38,7.437,7.259,6.333179,10017734
6/24/2011,7.367,7.399,7.485,7.34,6.391305,8900941
6/27/2011,7.36,7.351,7.418,7.324,6.385232,5320286
6/28/2011,7.416,7.39,7.465,7.309,6.433815,8124575
6/29/2011,7.679,7.46,7.688,7.451,6.661983,12986742
6/30/2011,7.752,7.7,7.8,7.648,6.725315,9378839
7/1/2011,7.865,7.773,7.888,7.695,6.82335,8653352
7/4/2011,8.015,7.87,8.042,7.85,6.953484,6721249
7/5/2011,7.94,8.02,8.05,7.91,6.888417,7064996
7/6/2011,8.029,7.94,8.033,7.923,6.965629,7933119
7/7/2011,8.115,8.04,8.115,7.952,7.040238,9408093
7/8/2011,7.937,8.129,8.165,7.908,6.885813,11895505
7/11/2011,7.762,7.75,7.866,7.671,6.733992,12395634
7/12/2011,7.483,7.466,7.62,7.285,6.491942,22665036
7/13/2011,7.5,7.428,7.536,7.35,6.506691,14114866
7/14/2011,7.44,7.402,7.485,7.382,6.454637,5963379
7/15/2011,7.265,7.372,7.395,7.22,6.302814,13580504
7/18/2011,7.103,7.22,7.256,7.071,6.16227,12068984
7/19/2011,7.447,7.15,7.447,7.149,6.46071,10163261
7/20/2011,7.21,7.479,7.57,7.156,6.255098,20424947
7/21/2011,7.124,7.22,7.22,6.831,6.180489,27418134
7/22/2011,7.211,7.2,7.267,7.105,6.255966,11150650
7/25/2011,7.263,7.12,7.275,7.095,6.301079,6867757
7/26/2011,7.206,7.184,7.26,7.125,6.251628,9251978
7/27/2011,7.199,7.133,7.238,7.066,6.245555,9831538
7/28/2011,6.951,7.3,7.408,6.883,6.030401,26942220
7/29/2011,7.007,6.859,7.059,6.812,6.078984,13511103
8/1/2011,6.872,7.21,7.23,6.84,5.961863,11689823
8/2/2011,6.672,6.82,6.958,6.642,5.788352,15612289
8/3/2011,6.402,6.45,6.569,6.286,5.554111,22268760
8/4/2011,5.955,6.527,6.54,5.832,5.166312,26709127
8/5/2011,5.945,5.4,6.209,5.3,5.157637,36568150
8/8/2011,5.452,5.75,5.95,5.414,4.72993,26789603
8/9/2011,5.788,5.453,5.8,5.03,5.02143,33945462
8/10/2011,5.594,6.078,6.148,5.52,4.853123,31034112
8/11/2011,6.025,5.85,6.098,5.622,5.227042,24743833
8/12/2011,6.295,6.036,6.339,5.927,5.461282,19587803
8/15/2011,6.191,6.421,6.43,6.094,5.371056,11950778
8/16/2011,6.055,6.135,6.15,5.706,5.253068,21178379
8/17/2011,5.822,5.958,6.008,5.781,5.050927,14396800
8/18/2011,5.504,5.713,5.782,5.454,4.775043,23567921
8/19/2011,5.559,5.429,5.717,5.205,4.822759,26314627
8/22/2011,5.545,5.469,5.79,5.43,4.810613,18369964
8/23/2011,5.645,5.66,5.766,5.477,4.897368,11383569
8/24/2011,5.786,5.709,5.906,5.651,5.019694,13662522
8/25/2011,5.653,5.869,5.91,5.54,4.904309,14475699
8/26/2011,5.71,5.63,5.738,5.5,4.953761,10282340
8/29/2011,5.846,5.799,5.914,5.732,5.071748,6559929
8/30/2011,5.812,5.88,5.927,5.725,5.042251,7846272
