Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,37.5,37.84,37.849998,36.830002,32.452274,1358904
5/20/2011,37.529999,37.5,37.700001,37.349998,32.478237,755904
5/23/2011,37.130001,37.035,37.299999,36.759998,32.13208,1181032
5/24/2011,37.134998,37.105,37.400002,36.799999,32.136402,893172
5/25/2011,37.080002,36.634998,37.32,36.025002,32.088806,1179690
5/26/2011,37.334999,36.994999,37.700001,36.994999,32.309483,992036
5/27/2011,37.685001,37.43,37.855,37.334999,32.61237,751020
5/30/2011,37.814999,37.799999,38.200001,37.75,32.724876,301172
5/31/2011,38.195,38,38.345001,37.875,33.053722,756750
6/1/2011,38.514999,38.285,38.66,38.09,33.33065,788502
6/2/2011,38.189999,38.355,38.59,38.125,33.049389,590714
6/3/2011,38.310001,38.23,38.380001,37.84,33.15324,708242
6/6/2011,38.740002,38.424999,38.77,38.310001,33.525368,624040
6/7/2011,38.705002,38.715,38.93,38.294998,33.495071,637870
6/8/2011,38.404999,38.505001,38.615002,38.099998,33.235455,566382
6/9/2011,38.305,38.470001,38.470001,38.029999,33.148918,703124
6/10/2011,37.685001,38.125,38.275002,37.674999,32.61237,903854
6/13/2011,37.705002,37.720001,37.93,37.474998,32.629684,431366
6/14/2011,37.919998,37.799999,38.080002,37.799999,32.815731,611370
6/15/2011,37.794998,37.924999,37.945,37.584999,32.707558,617748
6/16/2011,37.360001,37.610001,37.700001,37.224998,32.331123,807496
6/17/2011,37.275002,37.294998,37.535,36.724998,32.257565,1360226
6/20/2011,37.32,36.919998,37.490002,36.810001,32.296505,755806
6/21/2011,37.555,37.525002,37.634998,37.18,32.49987,542142
6/22/2011,36.5,37.075001,37.169998,36.424999,31.586882,1317814
6/23/2011,37.005001,36.654999,37.255001,36.57,32.023903,862126
6/24/2011,36.605,37.134998,37.27,36.455002,31.677746,731550
6/27/2011,36.825001,36.505001,36.935001,36.465,31.868134,418026
6/28/2011,36.900002,36.825001,37.09,36.674999,31.933046,493914
6/29/2011,37.66,37.165001,37.695,37.145,32.590736,526764
6/30/2011,37.470001,37.700001,37.900002,37.205002,32.426315,623786
7/1/2011,37.645,37.404999,37.66,37.185001,32.577759,732552
7/4/2011,38.134998,37.75,38.139999,37.599998,33.001793,670480
7/5/2011,37.645,37.764999,37.970001,37.185001,32.577759,937292
7/6/2011,37.82,37.889999,37.895,37.290001,32.729198,980954
7/7/2011,38.700001,37.994999,38.724998,37.939999,33.490753,1023766
7/8/2011,38.84,38.724998,39.095001,38.700001,33.6119,709848
7/11/2011,38.625,38.799999,39.174999,38.490002,33.425846,928908
7/12/2011,37.924999,38.139999,38.299999,37.465,32.820068,1127456
7/13/2011,38.349998,37.924999,38.439999,37.700001,33.187859,649976
7/14/2011,38.369999,38.145,38.535,38.115002,33.205173,487514
7/15/2011,38.875,38.25,39.240002,37.880001,33.642189,1162836
