Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,115.25,115.400002,116.5,114.449997,94.732056,115189
5/20/2011,113.900002,115.300003,116.550003,113,93.622391,151073
5/23/2011,111.550003,112.099998,112.449997,110.900002,91.690758,137407
5/24/2011,111,111.550003,112.300003,110.800003,91.23867,140385
5/25/2011,112.5,110.199997,112.650002,109.5,92.471634,154891
5/26/2011,112.650002,112.449997,113.75,112.349998,92.594933,203541
5/27/2011,114.800003,113.949997,115.449997,113.949997,94.36216,212634
5/30/2011,115.25,114.900002,115.900002,114.900002,94.732056,28040
5/31/2011,116.449997,115.599998,116.449997,114.5,95.718422,187237
6/1/2011,118,117,119.75,115.949997,96.992477,318401
6/2/2011,116.599998,117.199997,117.400002,115.699997,95.841713,128120
6/3/2011,115.900002,117,117.449997,114.900002,95.266327,103591
6/6/2011,115.650002,116.099998,117.300003,114.550003,95.060837,79511
6/7/2011,113.5,115.099998,116.949997,113.349998,93.29361,114242
6/8/2011,114,113.150002,114.25,110.550003,93.704582,161944
6/9/2011,118.300003,114.099998,119.099998,114.099998,97.239059,194245
6/10/2011,117.949997,118.550003,120.199997,117.349998,96.951363,172241
6/13/2011,117.349998,117.300003,118.199997,116.349998,96.458191,41656
6/14/2011,118.300003,117.650002,119.25,117.25,97.239059,112672
6/15/2011,117.949997,118.300003,119.699997,117.300003,96.951363,117560
6/16/2011,117.800003,116.75,117.849998,116.050003,96.828079,199565
6/17/2011,118.849998,116.900002,119.699997,115.849998,97.691132,153173
6/20/2011,120.949997,117.5,121,116.650002,99.417274,167603
6/21/2011,122.949997,121.300003,123.349998,120.75,101.061226,184696
6/22/2011,121.550003,122.949997,123.349998,121.550003,99.910461,117384
6/23/2011,120.199997,120.949997,122.900002,118.949997,98.800804,158127
6/24/2011,122.949997,121.949997,127,121.400002,101.061226,270311
6/27/2011,124.5,122,125.25,121.5,102.335281,140554
6/28/2011,126.300003,125.199997,126.949997,124.400002,103.814819,168274
6/29/2011,127.300003,126.800003,129.5,126.050003,104.636803,176184
6/30/2011,126.699997,128,128.350006,125.050003,104.143608,148424
7/1/2011,127.849998,127,128.050003,125.599998,105.088875,111393
7/4/2011,129.949997,127.949997,130.699997,127.300003,106.815002,101332
7/5/2011,130.399994,130,132.5,129.949997,107.184891,134403
7/6/2011,132.399994,131,133,129.949997,108.828835,126353
7/7/2011,134.649994,133,135.300003,132.949997,110.678253,147417
7/8/2011,133.25,135,137.300003,133.100006,109.527504,169601
7/11/2011,129.5,131.699997,133.850006,128.449997,106.445122,152422
7/12/2011,131.050003,126.800003,131.050003,125,107.719177,193793
7/13/2011,133.399994,131,134.25,130.899994,109.650803,139159
7/14/2011,133.800003,133.25,135.75,133.25,109.979591,143921
7/15/2011,136.949997,134.399994,137.5,133,112.568802,165693
7/18/2011,134.300003,136.649994,137.899994,133.25,110.390587,181198
7/19/2011,136.550003,134.350006,138.100006,134.350006,112.240021,169401
7/20/2011,136.449997,137.399994,138.800003,134.199997,112.157814,156161
7/21/2011,134.050003,137,137.550003,132.899994,110.185089,226270
7/22/2011,136.050003,136,136.5,134.449997,111.829041,113290
7/25/2011,136.600006,136.149994,137,134.949997,112.28112,123923
7/26/2011,133.949997,136.449997,137,133.550003,110.10289,143931
7/27/2011,133.850006,133.399994,134.75,131.550003,110.020699,200302
7/28/2011,129.399994,132.300003,135.300003,124.449997,106.362915,520010
7/29/2011,127.699997,128,130.949997,126.050003,104.965576,288247
8/1/2011,127.150002,130.5,131.199997,126.650002,104.513504,149256
8/2/2011,123,126.550003,127.25,121.650002,101.102318,180324
8/3/2011,116,119.800003,120.199997,114.5,95.348534,343940
8/4/2011,112.900002,119.400002,119.400002,110.349998,92.800415,426533
8/5/2011,108.449997,106.300003,113.699997,105.5,89.142647,429962
8/8/2011,102.599998,104.900002,107.800003,99.620003,84.334129,467234
8/9/2011,104.699997,101,106.300003,97,86.060257,541937
8/10/2011,102.949997,110.25,112.400002,101.5,84.621819,473253
8/11/2011,106.699997,106.599998,108.900002,102.150002,87.704193,311314
8/12/2011,111.199997,107.5,112.400002,105.050003,91.403076,252036
8/15/2011,110.150002,112.900002,114.300003,108.900002,90.540001,181606
8/16/2011,108.25,108.949997,108.949997,105,88.978264,179158
8/17/2011,106.550003,107,109.5,106.5,87.580917,174421
8/18/2011,100.199997,105.199997,106.900002,99.349998,82.361397,259818
8/19/2011,96.010002,99,99.489998,95.5,78.917351,535859
8/22/2011,94.150002,95.800003,96.739998,93.279999,77.388489,322409
8/23/2011,95.07,95,98.279999,92.879997,78.144691,295513
8/24/2011,99,95.949997,100.599998,95.75,81.375031,238941
8/25/2011,98.970001,100.5,102.300003,95.309998,81.350388,304443
8/26/2011,99.699997,98.199997,100.900002,97.099998,81.950417,203160
8/29/2011,101.150002,100.5,102.550003,98.68,83.142281,148326
8/30/2011,102.449997,102.849998,103.800003,101.300003,84.210823,163038
8/31/2011,105.849998,102.949997,106.949997,102.099998,87.005531,183031
9/1/2011,107,105.650002,107.75,103,87.950798,228586
9/2/2011,102.400002,104.449997,104.599998,101.25,84.169731,197914
9/5/2011,96.050003,100,102.800003,95.709999,78.950218,202871
9/6/2011,96.089996,95.650002,97.279999,94.489998,78.983093,186932
9/7/2011,101.050003,99.400002,101.699997,98.389999,83.060081,147752
9/8/2011,99.699997,101.5,103,98.529999,81.950417,128840
9/9/2011,95.769997,98.900002,100.099998,95.379997,78.720078,184765
9/12/2011,94.349998,94.209999,95.110001,90.68,77.552887,238339
9/13/2011,94.470001,96,96.199997,92.849998,77.65152,213952
9/14/2011,98.57,93.019997,99,93,81.021591,215957
9/15/2011,102,99.300003,103,98.800003,83.84095,176047
9/16/2011,104.300003,104.099998,104.650002,101.25,85.731483,276807
9/19/2011,100.699997,102.199997,102.25,99.800003,82.772377,126399
9/20/2011,104.25,99.889999,104.550003,99,85.690376,113983
9/21/2011,101.25,104.099998,104.099998,100.550003,83.224487,119210
9/22/2011,92.120003,98.050003,98.699997,92.120003,75.719887,334704
9/23/2011,92.970001,94,94,88.480003,76.418564,225146
9/26/2011,91,91.449997,94.260002,89.839996,74.799286,183677
9/27/2011,96.5,94.550003,97.019997,93.529999,79.320114,261696
9/28/2011,95.559998,95.129997,97.699997,94.260002,78.547455,128800
9/29/2011,96.699997,95.019997,97.919998,94.699997,79.484505,131737
9/30/2011,93.190002,97,97.120003,91.019997,76.599396,280282
10/4/2011,84.5,88,88.139999,82.349998,69.456459,364979
10/5/2011,88.690002,87.730003,89.699997,84.410004,72.900536,198982
10/6/2011,92.110001,89.940002,92.349998,89.480003,75.71167,200262
10/7/2011,94.800003,92.599998,94.949997,90.739998,77.92276,153486
10/10/2011,97.43,94.790001,98.459999,93.309998,80.084541,141978
10/11/2011,98.400002,96.989998,99.290001,95.720001,80.881859,140851
10/12/2011,101.400002,97.349998,101.449997,96.919998,83.347763,217123
10/13/2011,101.050003,101,102.300003,99.610001,83.060081,146748
10/14/2011,102.550003,101.099998,104.099998,100.400002,84.293037,111299
10/17/2011,101.150002,104,105.449997,99.610001,83.142281,111305
10/18/2011,101.949997,99,102.449997,97.440002,83.799843,98092
10/19/2011,102.300003,102.699997,104.449997,101.550003,84.087532,120657
10/20/2011,100.199997,101,102.699997,99.800003,82.361397,114504
10/21/2011,102.75,100.599998,103.050003,99.730003,84.457428,90424
10/24/2011,107.099998,103.800003,107.599998,103,88.032982,126807
10/25/2011,105.349998,106.400002,109.400002,105.099998,86.594543,174651
10/26/2011,105.849998,105.5,108.099998,104.400002,87.005531,142648
10/27/2011,114,110.099998,116,108.300003,93.704582,304835
10/28/2011,116.400002,114.699997,119.5,114.449997,95.677315,254358
10/31/2011,113.800003,115.800003,116.050003,113.199997,93.540192,159223
11/1/2011,108.699997,108.199997,110.800003,106.199997,89.348137,264333
11/2/2011,114.75,109.300003,115.300003,109.300003,94.321053,258036
11/3/2011,118.900002,111.400002,119.599998,111.25,97.732246,279761
11/4/2011,116.050003,119.550003,119.800003,115,95.389626,231461
11/7/2011,116.550003,115.25,118.800003,112.400002,95.800613,137722
11/8/2011,116.699997,116.400002,119.199997,115.550003,95.923912,142756
11/9/2011,114.550003,118.800003,119.849998,112.75,94.15667,184217
11/10/2011,114.199997,111.800003,117.099998,111.5,93.86898,137951
11/11/2011,117.449997,115,117.5,114,96.540382,73085
11/14/2011,117.099998,119,119,115.300003,96.252686,86055
11/15/2011,116,115.900002,118.25,114.949997,95.348534,123304
11/16/2011,115.849998,115.150002,116.650002,113.199997,95.225227,129898
11/17/2011,112.099998,114.849998,116.199997,112.099998,92.142838,114215
11/18/2011,110.099998,111.849998,113,110.099998,90.498909,96998
11/21/2011,106.300003,110.099998,110.25,105.699997,87.375412,169705
11/22/2011,105.75,107.449997,107.800003,105.150002,86.923325,105939
11/23/2011,101.050003,104.650002,104.650002,100.699997,83.060081,153626
11/24/2011,102.050003,101.699997,104.550003,101.25,83.882057,75757
11/25/2011,101,103.150002,103.150002,98.599998,83.018967,145738
11/28/2011,109.699997,103.25,110,103,90.17012,144239
11/29/2011,106.550003,109.949997,109.949997,106.449997,87.580917,134620
11/30/2011,112.5,105.400002,113.099998,104.550003,92.471634,245520
12/1/2011,111,112,114,110.550003,91.23867,152765
12/2/2011,113.599998,113,115.849998,113,93.375793,113197
12/5/2011,113.5,115.349998,116.699997,113.5,93.29361,162924
