Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,68.349998,67.610001,70.199997,66.790001,51.898205,997812
5/20/2011,68.989998,69.5,70.849998,68.510002,52.384163,1143775
5/23/2011,67,68.129997,68.230003,66.510002,50.873154,693299
5/24/2011,68.410004,67.019997,69.010002,66.559998,51.943779,744596
5/25/2011,68.760002,67.519997,69.110001,67.099998,52.209526,559160
5/26/2011,69.370003,68.889999,70.220001,68.379997,52.672699,672042
5/27/2011,69.870003,70,70.5,69.639999,53.052353,585201
5/30/2011,70.089996,70.089996,70.360001,69.57,53.219383,259409
5/31/2011,71.5,70.900002,71.980003,70.410004,54.290005,2614584
6/1/2011,70.650002,71.449997,72.449997,70.449997,53.644611,693544
6/2/2011,69.889999,70.300003,70.300003,69.059998,53.067535,367142
6/3/2011,70.239998,70.559998,71.099998,69.540001,53.333298,417587
6/6/2011,70.080002,70.139999,70.239998,69.449997,53.2118,295289
6/7/2011,69.790001,69.699997,70.959999,69.699997,52.991611,302767
6/8/2011,68.730003,69.800003,69.940002,67.089996,52.186756,713731
6/9/2011,70.120003,69.540001,70.360001,68.449997,53.24218,482499
6/10/2011,68.489998,70.07,70.110001,68.110001,52.004517,477280
6/13/2011,68.160004,68.769997,68.879997,67.57,51.753944,337519
6/14/2011,67.959999,68,68.5,67.089996,51.602085,684202
6/15/2011,67.910004,67.800003,68.650002,67.400002,51.564117,466578
6/16/2011,68.019997,67.349998,68.019997,66.900002,51.647648,753468
6/17/2011,67.220001,67.940002,67.940002,66.260002,51.040203,1242887
6/20/2011,67.269997,66.900002,67.269997,66.160004,51.078163,405064
6/21/2011,68.470001,67.32,68.669998,67.260002,51.989338,481327
6/22/2011,67.699997,68.599998,68.739998,67.650002,51.404667,399149
6/23/2011,66.980003,67.519997,68.519997,66.459999,50.857971,570956
6/24/2011,67.360001,67.650002,69.190002,67.150002,51.146511,479919
6/27/2011,67.900002,66.949997,68.32,66.860001,51.55653,287284
6/28/2011,69.919998,68.25,69.949997,68.25,53.090305,539379
6/29/2011,71.769997,70,72.489998,70,54.49501,788560
6/30/2011,72.449997,71.989998,72.550003,71.160004,55.011337,561737
7/1/2011,72.330002,72.449997,73,71.629997,54.920231,292528
7/4/2011,73.769997,72.419998,74,72.050003,56.013626,346433
7/5/2011,73.610001,73.32,74.480003,73.32,55.892139,286529
7/6/2011,73.870003,73.919998,74.919998,73.5,56.08955,588315
7/7/2011,76.279999,74.5,76.800003,74.110001,57.919468,662904
7/8/2011,75.809998,76.290001,77.629997,74.800003,57.56258,856476
7/11/2011,71.559998,75.18,75.18,70.720001,54.335567,757560
7/12/2011,71.959999,69.620003,72.739998,67.389999,54.63929,1476273
7/13/2011,73.900002,71.43,74.57,71.43,56.112343,713557
7/14/2011,73.489998,73.120003,74.93,73.120003,55.801022,362219
7/15/2011,75.129997,73.199997,75.459999,72.669998,57.04628,579396
7/18/2011,72.379997,74.480003,75.349998,71.900002,54.958191,730966
7/19/2011,72.690002,72.970001,73.760002,72.019997,55.193584,415862
7/20/2011,73.379997,73,74.169998,72.690002,55.717491,434726
7/21/2011,72.459999,74,74.379997,70.720001,55.018936,573981
7/22/2011,72.480003,73.300003,73.629997,71.550003,55.034126,364910
7/25/2011,73.650002,71.949997,74.040001,71.519997,55.922512,336045
7/26/2011,70.650002,73.580002,74.040001,69.610001,53.644611,769059
7/27/2011,69.260002,69.620003,70.040001,68.099998,52.589176,645828
7/28/2011,68.199997,68.480003,69.400002,67.230003,51.784317,697151
7/29/2011,69.599998,67.769997,70.68,67.120003,52.847343,922617
8/1/2011,69.669998,71.25,72.449997,68.639999,52.90049,790756
8/2/2011,66.239998,69.059998,70,65.75,50.296089,847984
8/3/2011,63.610001,64.5,65.029999,62.68,48.299129,1088867
8/4/2011,59.540001,64.879997,65.5,58.700001,45.208771,1254408
8/5/2011,57.900002,56.060001,60.849998,55.040001,43.963524,1410260
8/8/2011,52.639999,56.900002,58.790001,51.57,39.969597,1250850
8/9/2011,53.349998,53,55,49.259998,40.508701,1368644
8/10/2011,50.66,55.610001,56.18,48.5,38.466179,1336080
